latent,inverse_logit,piel_printed_2013,uniform_binomial_conjugate,stukel_piel_printed_2013,stukel_uniform_binomial_conjugate
-6.369193647190837,0.0017106091888125887,0.0012276688131483769,0.0012590206204841619,0.0012768441111733596,0.0013032142719133655
-6.3412172292693763,0.0017590562515200346,0.0012802437567675656,0.0013112230626441477,0.0013309585081067558,0.0013567253122764309
-6.3132408113479164,0.0018088729227781876,0.0013348151061962701,0.0013653604936751669,0.0013870718304616935,0.001412172586913853
-6.2852643934264565,0.0018600977789039949,0.0013914471631085109,0.0014214946300770968,0.001445245475462855,0.0014696154497772027
-6.2572879755049957,0.0019127704745513466,0.0014502058189139026,0.0014796887500778397,0.0015055422539057514,0.0015291146759278569
-6.2293115575835358,0.0019669317723827995,0.0015111585751388025,0.0015400077175709141,0.001568026406523311,0.0015907324820549718
-6.2013351396620759,0.0020226235735305814,0.001574374563308757,0.0016025180058189829,0.0016327636200007805,0.0016545325468457332
-6.1733587217406152,0.0020798889488662709,0.0016399245642940538,0.0016672877208931825,0.001699821042616918,0.0017205800311891511
-6.1453823038191553,0.0021387721710989585,0.0017078810270794564,0.0017343866248174192,0.0017692672994890394,0.001788941598194278
-6.1174058858976954,0.00219931874772208,0.001778318086918319,0.0018038861583856904,0.0018411725073992457,0.001859685433003164
-6.0894294679762355,0.0022615754548294727,0.0018513115828305018,0.0018758594636197044,0.0019156082891788381,0.0019328812623784042
-6.0614530500547747,0.0023255903718216154,0.0019269390744027133,0.0019503814058331654,0.0019926477876275402,0.0020086003740446782
-6.0334766321333149,0.0023914129170233859,0.0020052798578491875,0.0020275285952680746,0.0020723656789439068,0.0020869156357631344
-6.005500214211855,0.0024590938842350852,0.0020864149812898519,0.0021073794082677216,0.0021548381856430704,0.0021679015141170752
-5.9775237962903942,0.0025286854802388042,0.0021704272592024463,0.0021900140079498987,0.0022401430889375296,0.0022516340929867782
-5.9495473783689343,0.0026002413632826423,0.0022574012860044168,0.002275514364343206,0.0023283597405567135,0.0023381910916910136
-5.9215709604474744,0.0026738166825656766,0.0023474234487198052,0.0023639642739483814,0.0024195690739804744,0.0024276518827721048
-5.8935945425260137,0.0027494681187468831,0.0024405819386856759,0.0024554493786856377,0.0025138536150617584,0.0025200975094011369
-5.8656181246045538,0.0028272539255016697,0.0025369667622521866,0.0025500571841883418,0.0026112974920132685,0.0026156107023792533
-5.8376417066830939,0.0029072339721500154,0.0026366697504298557,0.0026478770774024038,0.0027119864447328486,0.0027142758967107108
-5.8096652887616331,0.0029894697873805412,0.0027397845674371197,0.002749000343449993,0.0028160078334421323,0.0028161792477226564
-5.7816888708401732,0.0030740246040952312,0.002846406718100815,0.0028535201817154097,0.0029234506466127757,0.0029214086467064635
-5.7537124529187134,0.0031609634053998831,0.0029566335540620655,0.0029615317211102066,0.003034405508154669,0.0030300537360547016
-5.7257360349972526,0.0032503529717656369,0.0030705642787394183,0.0030731320344739217,0.0031489646838400364,0.0031422059238676442
-5.6977596170757927,0.0033422619293873037,0.0031882999510011475,0.0031884201520659249,0.0032672220869376331,0.0032579583980025246
-5.6697831991543328,0.0034367607997645689,0.0033099434874982719,0.0033074970741035826,0.0033892732830309346,0.0033774061395386661
-5.641806781232872,0.0035339220505323271,0.0034355996636097441,0.0034304657823007816,0.0035152154939942196,0.0035006459356308811
-5.6138303633114122,0.0036338201475668011,0.0035653751129512243,0.003557431250360722,0.0036451476011004676,0.0036277763917233509
-5.5858539453899523,0.0037365316083943401,0.0036993783253988894,0.0036885004533759791,0.0037791701472349344,0.0037588979430957484
-5.5578775274684915,0.0038421350569299746,0.0038377196435797414,0.0038237823760885231,0.0039173853381883053,0.0038941128657129509
-5.5299011095470316,0.0039507112795731129,0.0039805112577800204,0.0039633880199616911,0.0040598970430033845,0.004033525286349436
-5.5019246916255717,0.0040623432826879646,0.0041278671992236986,0.004107430409015878,0.0042068107933494279,0.0041772411919590571
-5.473948273704111,0.0041771163514963804,0.0042799033316731558,0.0042560245943791212,0.0043582337818981404,0.0043253684382605316
-5.4459718557826511,0.0042951181104110159,0.0044367373413046196,0.0044092876575034566,0.0045142748596756609,0.004478016757508755
-5.4179954378611912,0.0044164385848368976,0.0045984887248114769,0.004567338711997793,0.0046750445323650441,0.0046352977654217278
-5.3900190199397304,0.0045411702644694088,0.0047652787756889709,0.0047302989040274796,0.0048406549555337682,0.0047973249672325627
-5.3620426020182705,0.0046694081681169109,0.0049372305686546268,0.0048982914112308375,0.0050112199287610949,0.0049642137628359041
-5.3340661840968107,0.0048012499100762215,0.0051144689421594239,0.0050714414401027549,0.005186854888640585,0.0051360814509978057
-5.3060897661753508,0.0049367957680890367,0.0052971204789454742,0.0052498762217952667,0.005367676900632958,0.0053130472325977627
