genesymbol,drugid,guidelineid,cpiclevel,removed
MT-RNR1,RxNorm:6099,826283,A,f
MT-RNR1,RxNorm:641,826283,A,f
MT-RNR1,RxNorm:7299,826283,A,f
MT-RNR1,RxNorm:7337,826283,A,f
MT-RNR1,RxNorm:7934,826283,A,f
MT-RNR1,RxNorm:NA,826283,A,f
NAGS,RxNorm:11118,,B,f
NAGS,RxNorm:401713,,B,f
NAT2,RxNorm:5470,6478852,A,f
NUDT15,RxNorm:103,100428,A,f
NUDT15,RxNorm:10485,100428,A,f
NUDT15,RxNorm:1256,100428,A,f
OTC,RxNorm:11118,,B,f
RYR1,RxNorm:10154,100427,A,f
RYR1,RxNorm:27340,100427,A,f
RYR1,RxNorm:36453,100427,A,f
RYR1,RxNorm:3920,100427,A,f
RYR1,RxNorm:5095,100427,A,f
RYR1,RxNorm:6026,100427,A,f
RYR1,RxNorm:6857,100427,A,f
SCN1A,RxNorm:2002,,B,f
SCN1A,RxNorm:8183,,B,f
SLCO1B1,RxNorm:301542,100426,A,f
SLCO1B1,RxNorm:36567,100426,A,f
SLCO1B1,RxNorm:41127,100426,A,f
SLCO1B1,RxNorm:42463,100426,A,f
SLCO1B1,RxNorm:6472,100426,A,f
SLCO1B1,RxNorm:83367,100426,A,f
SLCO1B1,RxNorm:861634,100426,A,f
TPMT,RxNorm:103,100428,A,f
TPMT,RxNorm:10485,100428,A,f
TPMT,RxNorm:1256,100428,A,f
UGT1A1,RxNorm:1543543,,B,f
UGT1A1,RxNorm:343047,100429,A,f
UGT1A1,RxNorm:51499,,A,f
VKORC1,RxNorm:11289,100425,A,f
